,game_id,team,week,total_yards,total_tds,passing_tds,rushing_tds,num_plays,avg_epa,success_rate,total_rush_yards,rush_attempts,longest_rush,rushes_for_loss,total_pass_yards,pass_attempts,complete_passes,incomplete_passes,sacks,longest_pass,total_penalty_yards,fumbles_lost,interceptions,third_down_converted,fourth_down_converted,wp,home_wp,away_wp
0,2024_01_ARI_BUF,ARI,1,273.0,2.0,1.0,1.0,60,0.063334994,0.38333333333333336,125.0,25.0,29.0,1,162.0,35.0,21.0,10.0,4.0,24.0,10.0,1.0,0.0,7.0,0.0,0.49670646,0.5032936,0.49670646
1,2024_01_ARI_BUF,BUF,1,353.0,4.0,2.0,2.0,57,0.22208434,0.5789473684210527,131.0,32.0,15.0,4,232.0,25.0,18.0,5.0,2.0,28.0,25.0,1.0,0.0,3.0,2.0,0.53742075,0.53742075,0.46257922
2,2024_01_BAL_KC,BAL,1,452.0,2.0,1.0,1.0,74,0.0806493,0.5405405405405406,185.0,32.0,16.0,1,273.0,42.0,26.0,15.0,1.0,49.0,0.0,1.0,0.0,7.0,1.0,0.25703576,0.7429642,0.25703576
3,2024_01_BAL_KC,KC,1,354.0,3.0,1.0,2.0,49,0.20840624,0.4489795918367347,73.0,19.0,21.0,1,291.0,30.0,20.0,7.0,2.0,35.0,15.0,0.0,1.0,4.0,0.0,0.7477417,0.7477417,0.25225833
4,2024_01_CAR_NO,CAR,1,193.0,1.0,0.0,1.0,55,-0.48541656,0.2909090909090909,58.0,20.0,8.0,1,161.0,35.0,13.0,16.0,4.0,35.0,15.0,1.0,2.0,1.0,1.0,0.044126984,0.955873,0.044126984
5,2024_01_CAR_NO,NO,1,379.0,5.0,3.0,2.0,62,0.20582,0.46774193548387094,180.0,37.0,17.0,3,200.0,25.0,19.0,5.0,1.0,59.0,30.0,0.0,0.0,7.0,0.0,0.91031843,0.91031843,0.08968158
6,2024_01_DAL_CLE,CLE,1,230.0,2.0,1.0,1.0,70,-0.27186438,0.2571428571428571,93.0,19.0,16.0,1,169.0,51.0,24.0,19.0,6.0,29.0,15.0,0.0,2.0,2.0,3.0,0.13579498,0.13579498,0.864205
7,2024_01_DAL_CLE,DAL,1,266.0,2.0,1.0,1.0,59,-0.110944994,0.3559322033898305,103.0,24.0,12.0,2,179.0,35.0,19.0,13.0,3.0,34.0,10.0,0.0,0.0,4.0,0.0,0.7313841,0.2686159,0.7313841
8,2024_01_DEN_SEA,DEN,1,231.0,1.0,0.0,1.0,69,-0.3110773,0.2753623188405797,99.0,25.0,23.0,3,138.0,44.0,26.0,14.0,2.0,25.0,0.0,1.0,2.0,5.0,1.0,0.42103004,0.57896996,0.42103004
9,2024_01_DEN_SEA,SEA,1,308.0,3.0,1.0,2.0,58,-0.07988829,0.43103448275862066,150.0,30.0,34.0,5,171.0,28.0,18.0,6.0,2.0,30.0,20.0,0.0,1.0,4.0,0.0,0.65040445,0.65040445,0.34959558
10,2024_01_GB_PHI,GB,1,414.0,3.0,2.0,1.0,59,0.18244727,0.423728813559322,163.0,22.0,33.0,3,260.0,37.0,17.0,17.0,2.0,70.0,12.0,0.0,1.0,3.0,1.0,0.42847377,0.5715262,0.42847377
11,2024_01_GB_PHI,PHI,1,410.0,4.0,2.0,2.0,73,0.056383446,0.4657534246575342,144.0,38.0,34.0,5,278.0,35.0,20.0,11.0,2.0,67.0,5.0,1.0,2.0,4.0,1.0,0.5924897,0.5924897,0.40751028
12,2024_01_HOU_IND,HOU,1,419.0,3.0,2.0,1.0,75,0.14074478,0.48,215.0,39.0,17.0,1,234.0,36.0,24.0,8.0,4.0,55.0,15.0,0.0,0.0,7.0,2.0,0.6752509,0.3247491,0.6752509
13,2024_01_HOU_IND,IND,1,303.0,4.0,2.0,2.0,44,0.051887605,0.4318181818181818,104.0,23.0,19.0,3,212.0,21.0,9.0,9.0,2.0,60.0,0.0,0.0,1.0,5.0,1.0,0.35886705,0.35886705,0.64113295
14,2024_01_JAX_MIA,JAX,1,267.0,2.0,1.0,1.0,50,-0.14796366,0.4,128.0,26.0,26.0,3,162.0,24.0,12.0,9.0,3.0,30.0,14.0,1.0,0.0,2.0,0.0,0.70852447,0.29147547,0.70852447
15,2024_01_JAX_MIA,MIA,1,400.0,2.0,1.0,1.0,65,0.024073325,0.4,81.0,25.0,14.0,5,338.0,40.0,23.0,14.0,3.0,80.0,0.0,0.0,0.0,8.0,0.0,0.40156725,0.40156725,0.5984327
16,2024_01_LA_DET,DET,1,363.0,3.0,1.0,2.0,61,0.1057764,0.5081967213114754,163.0,31.0,21.0,1,217.0,30.0,18.0,9.0,2.0,52.0,20.0,0.0,1.0,6.0,1.0,0.6691766,0.6691766,0.33082342
17,2024_01_LA_DET,LA,1,387.0,2.0,1.0,1.0,74,0.043882255,0.47297297297297297,83.0,23.0,12.0,3,317.0,51.0,34.0,14.0,2.0,63.0,15.0,0.0,1.0,5.0,1.0,0.37810507,0.62189496,0.37810507
18,2024_01_LV_LAC,LAC,1,318.0,2.0,1.0,1.0,52,-0.08854648,0.36538461538461536,178.0,25.0,61.0,1,144.0,27.0,17.0,9.0,1.0,27.0,0.0,0.0,0.0,4.0,0.0,0.6332967,0.6332967,0.36670324
19,2024_01_LV_LAC,LV,1,296.0,1.0,1.0,0.0,59,-0.33483836,0.3220338983050847,71.0,22.0,12.0,1,257.0,37.0,25.0,7.0,4.0,33.0,25.0,2.0,1.0,5.0,0.0,0.42727575,0.5727242,0.42727575
20,2024_01_MIN_NYG,MIN,1,313.0,3.0,2.0,1.0,50,0.15555473,0.48,112.0,25.0,19.0,3,208.0,25.0,19.0,4.0,1.0,44.0,15.0,1.0,1.0,3.0,1.0,0.8096837,0.19031632,0.8096837
21,2024_01_MIN_NYG,NYG,1,240.0,1.0,0.0,0.0,68,-0.35724223,0.3088235294117647,74.0,21.0,14.0,1,186.0,47.0,22.0,18.0,5.0,25.0,10.0,0.0,2.0,7.0,1.0,0.18601972,0.18601972,0.8139803
22,2024_01_NE_CIN,CIN,1,224.0,1.0,0.0,1.0,48,-0.17894964,0.4166666666666667,70.0,16.0,16.0,1,164.0,32.0,21.0,8.0,3.0,28.0,0.0,1.0,0.0,4.0,0.0,0.2630773,0.2630773,0.7369227
23,2024_01_NE_CIN,NE,1,292.0,1.0,0.0,1.0,61,-0.006899283,0.4426229508196721,172.0,36.0,17.0,3,121.0,25.0,15.0,9.0,1.0,17.0,0.0,0.0,0.0,6.0,0.0,0.7510442,0.24895576,0.7510442
24,2024_01_NYJ_SF,NYJ,1,267.0,3.0,2.0,1.0,50,-0.04936343,0.44,69.0,19.0,16.0,0,203.0,31.0,19.0,9.0,1.0,36.0,15.0,1.0,1.0,6.0,0.0,0.19016486,0.80983514,0.19016486
25,2024_01_NYJ_SF,SF,1,402.0,2.0,0.0,2.0,69,0.10059915,0.4492753623188406,181.0,37.0,24.0,1,231.0,32.0,19.0,10.0,3.0,34.0,20.0,0.0,0.0,6.0,0.0,0.7957845,0.7957845,0.20421553
26,2024_01_PIT_ATL,ATL,1,226.0,1.0,1.0,0.0,49,-0.35138503,0.42857142857142855,89.0,22.0,13.0,1,155.0,27.0,16.0,7.0,2.0,20.0,0.0,1.0,2.0,2.0,1.0,0.46725056,0.46725056,0.5327495
27,2024_01_PIT_ATL,PIT,1,270.0,0.0,0.0,0.0,66,-0.09979451,0.3939393939393939,137.0,41.0,20.0,5,156.0,25.0,17.0,6.0,2.0,40.0,5.0,0.0,0.0,8.0,0.0,0.63489664,0.36510336,0.63489664
28,2024_01_TEN_CHI,CHI,1,152.0,0.0,0.0,0.0,52,-0.24889682,0.38461538461538464,86.0,20.0,20.0,4,93.0,32.0,14.0,15.0,2.0,13.0,0.0,0.0,0.0,2.0,2.0,0.41508535,0.41508535,0.5849146
29,2024_01_TEN_CHI,TEN,1,244.0,3.0,1.0,1.0,61,-0.26414466,0.3770491803278688,140.0,26.0,26.0,3,127.0,35.0,19.0,11.0,3.0,22.0,0.0,1.0,2.0,3.0,1.0,0.6129261,0.38707387,0.6129261
30,2024_01_WAS_TB,TB,1,394.0,4.0,4.0,0.0,59,0.26636195,0.5254237288135594,114.0,28.0,31.0,7,289.0,31.0,24.0,6.0,1.0,32.0,10.0,0.0,0.0,9.0,0.0,0.813426,0.813426,0.18657401
31,2024_01_WAS_TB,WAS,1,301.0,3.0,0.0,3.0,56,0.12063033,0.48214285714285715,140.0,29.0,17.0,1,184.0,27.0,17.0,7.0,2.0,32.0,21.0,0.0,0.0,2.0,1.0,0.15208218,0.84791785,0.15208218
32,2024_02_ATL_PHI,ATL,2,387.0,2.0,2.0,0.0,57,0.15170576,0.47368421052631576,154.0,26.0,19.0,1,241.0,31.0,20.0,9.0,1.0,41.0,30.0,0.0,0.0,2.0,1.0,0.4590556,0.5409444,0.4590556
33,2024_02_ATL_PHI,PHI,2,368.0,2.0,1.0,1.0,68,0.11931952,0.47058823529411764,187.0,37.0,23.0,3,183.0,31.0,23.0,6.0,1.0,19.0,25.0,0.0,1.0,6.0,2.0,0.5638299,0.5638299,0.43617016
34,2024_02_BUF_MIA,BUF,2,250.0,3.0,1.0,2.0,42,0.2307162,0.42857142857142855,111.0,23.0,49.0,3,139.0,19.0,13.0,6.0,0.0,33.0,15.0,0.0,0.0,3.0,1.0,0.76624316,0.23375688,0.76624316
35,2024_02_BUF_MIA,MIA,2,351.0,2.0,1.0,0.0,75,-0.2667296,0.44,139.0,34.0,17.0,8,225.0,41.0,25.0,11.0,2.0,21.0,0.0,0.0,3.0,7.0,1.0,0.18772265,0.18772265,0.8122774
36,2024_02_CHI_HOU,CHI,2,205.0,1.0,0.0,1.0,66,-0.31363907,0.3181818181818182,71.0,22.0,24.0,3,174.0,44.0,23.0,12.0,7.0,27.0,25.0,0.0,2.0,6.0,1.0,0.22877857,0.77122146,0.22877857
37,2024_02_CHI_HOU,HOU,2,311.0,1.0,1.0,0.0,60,-0.14967987,0.35,76.0,21.0,18.0,2,260.0,39.0,23.0,13.0,3.0,28.0,15.0,1.0,0.0,4.0,1.0,0.75034297,0.75034297,0.24965706
38,2024_02_CIN_KC,CIN,2,320.0,3.0,2.0,0.0,61,0.045869682,0.5245901639344263,74.0,22.0,12.0,1,258.0,39.0,23.0,13.0,3.0,47.0,15.0,1.0,0.0,4.0,2.0,0.56688005,0.43311995,0.56688005
