iter	Passed	Remaining
0	0	220
1	1	248
2	2	252
3	3	260
4	4	251
5	5	246
6	5	242
7	6	240
8	7	238
9	8	237
10	8	236
11	9	234
12	10	233
13	11	231
14	12	230
15	12	229
16	13	228
17	14	227
18	15	226
19	16	225
20	16	224
21	17	222
22	18	222
23	19	221
24	20	220
25	20	219
26	21	217
27	22	216
28	23	215
29	23	214
30	24	213
31	25	212
32	26	211
33	26	210
34	27	210
35	28	209
36	29	208
37	30	208
38	31	207
39	31	206
40	32	205
41	33	204
42	34	203
43	34	203
44	35	202
45	36	201
46	37	200
47	38	199
48	38	198
49	39	197
50	40	196
51	41	195
52	41	195
53	42	194
54	43	193
55	44	192
56	44	191
57	45	190
58	46	189
59	47	189
60	47	187
61	48	186
62	49	185
63	50	185
64	50	184
65	51	183
66	52	182
67	53	181
68	53	180
69	54	179
70	54	176
71	55	175
72	56	175
73	57	174
74	57	173
75	58	172
76	59	172
77	60	171
78	61	170
79	61	169
80	62	169
81	63	169
82	64	168
83	65	168
84	66	167
85	67	167
86	67	166
87	68	165
88	69	164
89	70	164
90	71	163
91	71	162
92	72	161
93	73	160
94	74	160
95	75	159
96	75	158
97	76	157
98	77	157
99	78	156
100	78	155
101	79	154
102	80	153
103	81	153
104	82	152
105	82	151
106	83	150
107	84	150
108	85	149
109	85	148
110	86	147
111	87	146
112	88	146
113	89	145
114	89	144
115	90	143
116	91	142
117	92	142
118	92	141
119	93	140
120	94	139
121	95	138
122	95	138
123	96	137
124	97	136
125	98	136
126	99	135
127	100	134
128	100	133
129	101	132
130	102	132
131	103	131
132	103	130
133	104	129
134	105	129
135	106	128
136	107	127
137	108	127
138	109	126
139	110	125
140	110	124
141	111	124
142	112	123
143	113	122
144	113	121
145	114	120
146	115	120
147	116	119
148	117	118
149	117	117
150	118	117
151	119	116
152	120	115
153	120	114
154	121	113
155	122	113
156	123	112
157	123	111
158	124	110
159	125	109
160	126	109
161	127	108
162	127	107
163	128	106
164	129	105
165	130	105
166	130	104
167	131	103
168	132	102
169	133	101
170	134	101
171	134	100
172	135	99
173	136	98
174	137	97
175	137	97
176	138	96
177	139	95
178	140	94
179	140	93
180	141	93
181	142	92
182	143	91
183	144	90
184	144	90
185	145	89
186	146	88
187	147	87
188	148	86
189	148	86
190	149	85
191	150	84
192	151	83
193	151	82
194	152	82
195	153	81
196	154	80
197	154	79
198	155	79
199	156	78
200	157	77
201	158	76
202	158	75
203	159	75
204	160	74
205	161	73
206	162	72
207	163	72
208	164	71
209	165	70
210	165	69
211	166	69
212	167	68
213	167	67
214	168	66
215	169	65
216	170	65
217	170	64
218	171	63
219	172	62
220	173	61
221	173	61
222	174	60
223	175	59
224	175	58
225	176	57
226	177	57
227	178	56
228	178	55
229	179	54
230	180	53
231	180	52
232	181	52
233	182	51
234	182	50
235	183	49
236	184	48
237	184	48
238	185	47
239	186	46
240	186	45
241	187	44
242	188	44
243	188	43
244	189	42
245	190	41
246	190	40
247	191	40
248	192	39
249	192	38
250	193	37
251	194	37
252	194	36
253	195	35
254	196	34
255	197	33
256	197	33
257	198	32
258	199	31
259	199	30
260	200	29
261	201	29
262	201	28
263	203	27
264	203	26
265	205	26
266	206	25
267	206	24
268	207	23
269	208	23
270	208	22
271	209	21
272	210	20
273	210	20
274	211	19
275	212	18
276	212	17
277	213	16
278	214	16
279	215	15
280	215	14
281	216	13
282	217	13
283	217	12
284	218	11
285	219	10
286	219	9
287	220	9
288	221	8
289	222	7
290	222	6
291	223	6
292	224	5
293	224	4
294	225	3
295	226	3
296	226	2
297	227	1
298	228	0
299	228	0
