player_id,player_name,position,recent_team,week,season_type,opponent_team,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receiving_yards,receptions,targets,receiving_tds,fantasy_points,fantasy_points_ppr,carries_per_game,rush_yards_per_game,rush_tds_per_game,targets_per_game,receptions_per_game,receiving_yards_per_game,total_yards_per_game,touches_per_game,yards_per_carry,yards_per_touch,yards_per_catch,yards_per_target,td_per_touch,carries_per_game_rolling_3,rush_yards_per_game_rolling_3,rush_tds_per_game_rolling_3,targets_per_game_rolling_3,receptions_per_game_rolling_3,receiving_yards_per_game_rolling_3,total_yards_per_game_rolling_3,touches_per_game_rolling_3,yards_per_carry_rolling_3,yards_per_touch_rolling_3,yards_per_catch_rolling_3,yards_per_target_rolling_3,td_per_touch_rolling_3,carries_per_game_rolling_5,rush_yards_per_game_rolling_5,rush_tds_per_game_rolling_5,targets_per_game_rolling_5,receptions_per_game_rolling_5,receiving_yards_per_game_rolling_5,total_yards_per_game_rolling_5,touches_per_game_rolling_5,yards_per_carry_rolling_5,yards_per_touch_rolling_5,yards_per_catch_rolling_5,yards_per_target_rolling_5,td_per_touch_rolling_5,carries_per_game_season_avg,rush_yards_per_game_season_avg,rush_tds_per_game_season_avg,targets_per_game_season_avg,receptions_per_game_season_avg,receiving_yards_per_game_season_avg,total_yards_per_game_season_avg,touches_per_game_season_avg,yards_per_carry_season_avg,yards_per_touch_season_avg,yards_per_catch_season_avg,yards_per_target_season_avg,td_per_touch_season_avg
00-0030578,C.Patterson,RB,PIT,1,REG,ATL,4.0,13.0,,,,,-1.2048415,,,,,,1.3,1.3,4.0,13.0,,,,,,,3.25,,,,,4.0,13.0,,,,,,,3.25,,,,,4.0,13.0,,,,,,,3.25,,,,,4.0,13.0,,,,,,,3.25,,,,
00-0030578,C.Patterson,RB,PIT,2,REG,DEN,2.0,3.0,,,,,-0.82626283,,,,,,0.3,0.3,2.0,3.0,,,,,,,1.5,,,,,3.0,8.0,,,,,,,2.375,,,,,3.0,8.0,,,,,,,2.375,,,,,3.0,8.0,,,,,,,2.375,,,,
00-0030578,C.Patterson,RB,PIT,3,REG,LAC,4.0,33.0,,,,2.0,1.696124,,15.0,3.0,5.0,,4.8,7.8,4.0,33.0,,5.0,3.0,15.0,48.0,7.0,8.25,6.857142857142857,5.0,3.0,,3.3333333333333335,16.333333333333332,,5.0,3.0,15.0,48.0,7.0,4.333333333333333,6.857142857142857,5.0,3.0,,3.3333333333333335,16.333333333333332,,5.0,3.0,15.0,48.0,7.0,4.333333333333333,6.857142857142857,5.0,3.0,,3.3333333333333335,16.333333333333332,,5.0,3.0,15.0,48.0,7.0,4.333333333333333,6.857142857142857,5.0,3.0,
00-0030578,C.Patterson,RB,PIT,4,REG,IND,6.0,43.0,,,,3.0,1.9261774,,19.0,2.0,2.0,,6.2,8.2,6.0,43.0,,2.0,2.0,19.0,62.0,8.0,7.166666666666667,7.75,9.5,9.5,,4.0,26.333333333333332,,3.5,2.5,17.0,55.0,7.5,5.638888888888889,7.303571428571429,7.25,6.25,,4.0,23.0,,3.5,2.5,17.0,55.0,7.5,5.041666666666667,7.303571428571429,7.25,6.25,,4.0,23.0,,3.5,2.5,17.0,55.0,7.5,5.041666666666667,7.303571428571429,7.25,6.25,
00-0030578,C.Patterson,RB,PIT,10,REG,WAS,3.0,14.0,,,,,-1.8056443,,,,,,1.4,1.4,3.0,14.0,,,,,,,4.666666666666667,,,,,4.333333333333333,30.0,,3.5,2.5,17.0,55.0,7.5,6.6944444444444455,7.303571428571429,7.25,6.25,,3.8,21.2,,3.5,2.5,17.0,55.0,7.5,4.966666666666667,7.303571428571429,7.25,6.25,,3.8,21.2,,3.5,2.5,17.0,55.0,7.5,4.966666666666667,7.303571428571429,7.25,6.25,
00-0030578,C.Patterson,RB,PIT,11,REG,BAL,1.0,,,,,,-0.4976819,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,2.0,,,,,,3.3333333333333335,28.5,,1.5,1.5,19.0,62.0,5.0,5.916666666666668,7.75,9.5,9.5,,3.2,23.25,,2.6666666666666665,2.0,17.0,55.0,5.666666666666667,5.395833333333334,7.303571428571429,7.25,6.25,,3.3333333333333335,21.2,,2.6666666666666665,2.0,17.0,55.0,5.666666666666667,4.966666666666667,7.303571428571429,7.25,6.25,
00-0030578,C.Patterson,RB,PIT,12,REG,CLE,1.0,-2.0,,,,,0.37635553,,,,,,-0.2,-0.2,1.0,-2.0,,,,,,,-2.0,,,,,1.6666666666666667,6.0,,1.0,1.0,,,2.0,1.3333333333333335,,,,,3.0,22.0,,2.6666666666666665,2.0,17.0,55.0,5.666666666666667,4.520833333333334,7.303571428571429,7.25,6.25,,3.0,17.333333333333332,,2.6666666666666665,2.0,17.0,55.0,5.666666666666667,3.805555555555556,7.303571428571429,7.25,6.25,
00-0030578,C.Patterson,RB,PIT,13,REG,CIN,3.0,16.0,,,,1.0,0.14406691,,37.0,3.0,3.0,,5.3,8.3,3.0,16.0,,3.0,3.0,37.0,53.0,6.0,5.333333333333333,8.833333333333334,12.333333333333334,12.333333333333334,,1.6666666666666667,7.0,,2.0,2.0,37.0,53.0,4.0,1.6666666666666665,8.833333333333334,12.333333333333334,12.333333333333334,,2.8,17.75,,2.0,2.0,28.0,57.5,5.333333333333333,3.791666666666667,8.291666666666666,10.916666666666668,10.916666666666668,,3.0,17.142857142857142,,2.75,2.25,23.666666666666668,54.333333333333336,5.75,4.023809523809524,7.813492063492063,8.944444444444445,8.277777777777779,
00-0030578,C.Patterson,RB,PIT,14,REG,CLE,4.0,3.0,,1.0,1.0,,-5.854028,,-2.0,1.0,1.0,,-1.9,-0.9,4.0,3.0,,1.0,1.0,-2.0,1.0,5.0,0.75,0.2,-2.0,-2.0,,2.6666666666666665,5.666666666666667,,2.0,2.0,17.5,27.0,5.5,1.361111111111111,4.516666666666666,5.166666666666667,5.166666666666667,,2.4,7.75,,1.6666666666666667,1.6666666666666667,17.5,27.0,4.333333333333333,2.1875,4.516666666666666,5.166666666666667,5.166666666666667,,3.111111111111111,15.375,,2.4,2.0,17.25,41.0,5.6,3.6145833333333335,5.910119047619047,6.208333333333334,5.708333333333334,
00-0030578,C.Patterson,RB,PIT,15,REG,PHI,2.0,9.0,,,,1.0,-0.5700041,,-1.0,1.0,1.0,,0.8,1.8,2.0,9.0,,1.0,1.0,-1.0,8.0,3.0,4.5,2.6666666666666665,-1.0,-1.0,,3.0,9.333333333333334,,1.6666666666666667,1.6666666666666667,11.333333333333334,20.666666666666668,4.666666666666667,3.5277777777777772,3.9,3.111111111111111,3.111111111111111,,2.2,6.5,,1.5,1.5,11.333333333333334,20.666666666666668,4.0,2.145833333333333,3.9,3.111111111111111,3.111111111111111,,3.0,14.666666666666666,,2.1666666666666665,1.8333333333333333,13.6,34.4,5.166666666666667,3.712962962962963,5.261428571428572,4.7666666666666675,4.366666666666667,
