season,team,team_id,player_id,player_name,first_name,last_name,position,jersey_number,status,game_type
2024,PHI,3700,00-0035676,A.J. Brown,Arthur,Brown,WR,11.0,ACT,SB
2024,DEN,1400,00-0038612,A.T. Perry,Atorian,Perry,WR,87.0,DEV,WC
2024,SEA,4600,00-0039793,AJ Barner,A.J.,Barner,TE,88.0,ACT,REG
2024,GB,1800,00-0036265,AJ Dillon,Algiers,Dillon,RB,28.0,RES,WC
2024,MIN,3000,00-0033293,Aaron Jones,Aaron,Jones,RB,33.0,ACT,WC
2024,NYJ,3430,00-0023459,Aaron Rodgers,Aaron,Rodgers,QB,8.0,ACT,REG
2024,PIT,3900,00-0037609,Aaron Shampklin,Aaron,Shampklin,RB,33.0,DEV,WC
2024,NO,3300,00-0036727,Adam Prentice,Adam,Prentice,RB,46.0,ACT,REG
2024,CAR,750,00-0030035,Adam Thielen,Adam,Thielen,WR,19.0,ACT,REG
2024,DEN,1400,00-0036422,Adam Trautman,Adam,Trautman,TE,82.0,ACT,WC
2024,IND,2200,00-0039890,Adonai Mitchell,Adonai,Mitchell,WR,10.0,ACT,REG
2024,NYJ,3430,00-0038658,Adrian Martinez,Adrian,Martinez,QB,15.0,DEV,REG
2024,BUF,610,00-0039511,Ahmarean Brown,Ahmarean,Brown,WR,87.0,CUT,REG
2024,LV,2520,00-0038579,Aidan O'Connell,Aidan,O'Connell,QB,12.0,ACT,REG
2024,CLE,1050,00-0039516,Aidan Robbins,Aidan,Robbins,RB,49.0,DEV,REG
2024,PHI,3700,00-0039747,Ainias Smith,Ainias,Smith,WR,82.0,INA,SB
2024,IND,2200,00-0036423,Albert Okwuegbunam,Albert,Okwuegbunam,TE,84.0,DEV,REG
2024,DAL,1200,00-0039524,Alec Holler,Alec,Holler,TE,49.0,CUT,REG
2024,MIA,2700,00-0035125,Alec Ingold,Alec,Ingold,RB,30.0,ACT,REG
2024,IND,2200,00-0037664,Alec Pierce,Alec,Pierce,WR,14.0,ACT,REG
2024,LV,2520,00-0035602,Alex Bachman,Alex,Bachman,WR,81.0,DEV,REG
2024,HOU,2120,00-0032543,Alex Erickson,Alex,Erickson,WR,14.0,DEV,DIV
2024,GB,1800,00-0039945,Alex Hale,Alex,Hale,K,16.0,DEV,WC
2024,GB,1800,00-0034732,Alex McGough,Alexander,McGough,WR,2.0,DEV,WC
2024,LV,2520,00-0034972,Alexander Mattison,Alexander,Mattison,RB,22.0,ACT,REG
2024,NYJ,3430,00-0034521,Allen Lazard,Allen,Lazard,WR,10.0,ACT,REG
2024,DET,1540,00-0031428,Allen Robinson,Allen,Robinson,WR,8.0,ACT,DIV
2024,NO,3300,00-0033906,Alvin Kamara,Alvin,Kamara,RB,41.0,INA,REG
2024,BUF,610,00-0031544,Amari Cooper,Amari,Cooper,WR,18.0,ACT,CON
2024,LV,2520,00-0032104,Ameer Abdullah,Ameer,Abdullah,RB,8.0,INA,REG
2024,DET,1540,00-0036963,Amon-Ra St. Brown,Amon-Ra,St. Brown,WR,14.0,ACT,DIV
2024,NYJ,3430,00-0038402,Anders Carlson,Anders,Carlson,K,18.0,TRC,REG
2024,ARI,3800,00-0035876,Andre Baccellia,Andre,Baccellia,WR,82.0,DEV,REG
2024,CLE,1050,00-0038428,Andre Szmyt,Andre,Szmyt,K,37.0,CUT,REG
2024,CIN,920,00-0038619,Andrei Iosivas,Andrei,Iosivas,WR,80.0,ACT,REG
2024,HOU,2120,00-0034959,Andrew Beck,Andrew,Beck,RB,47.0,ACT,DIV
2024,IND,2200,00-0037292,Andrew Ogletree,Andrew,Ogletree,TE,85.0,ACT,REG
2024,NYJ,3430,00-0039334,Andrew Peasley,Andrew,Peasley,QB,14.0,CUT,REG
2024,CAR,750,00-0027973,Andy Dalton,Andrew,Dalton,QB,14.0,ACT,REG
2024,PIT,3900,00-0035527,Andy Isabella,Andrew,Isabella,WR,87.0,CUT,REG
2024,BUF,610,00-0037175,Anthony Brown,Anthony,Brown,QB,5.0,DEV,CON
2024,KC,2310,00-0033455,Anthony Firkser,Anthony,Firkser,TE,85.0,DEV,SB
2024,IND,2200,00-0039816,Anthony Gould,Anthony,Gould,WR,6.0,ACT,REG
2024,MIA,2700,00-0036336,Anthony McFarland,Anthony,McFarland,RB,16.0,CUT,REG
2024,BAL,325,00-0034353,Anthony Miller,Anthony,Miller,WR,6.0,ACT,DIV
2024,IND,2200,00-0039164,Anthony Richardson,Anthony,Richardson,QB,5.0,INA,REG
2024,MIA,2700,00-0036999,Anthony Schwartz,Anthony,Schwartz,WR,84.0,RES,REG
2024,DET,1540,00-0038627,Antoine Green,Antoine,Green,WR,18.0,RES,DIV
2024,NE,3200,00-0036328,Antonio Gibson,Antonio,Gibson,RB,4.0,ACT,REG
2024,BUF,610,00-0037168,Armani Rogers,Armani,Rogers,TE,88.0,RES,CON
2024,IND,2200,00-0035021,Ashton Dulin,Ashton,Dulin,WR,16.0,ACT,REG
2024,DEN,1400,00-0039373,Audric Estimé,Audric,Estime,RB,23.0,INA,WC
2024,WAS,5110,00-0033699,Austin Ekeler,Austin,Ekeler,RB,30.0,ACT,CON
2024,NE,3200,00-0032392,Austin Hooper,Austin,Hooper,TE,81.0,ACT,REG
2024,WAS,5110,00-0039678,Austin Jones,Austin,Jones,RB,46.0,CUT,REG
2024,ATL,200,00-0035869,Austin Mack,Austin,Mack,WR,81.0,CUT,REG
2024,CHI,810,00-0039464,Austin Reed,Austin,Reed,QB,16.0,DEV,REG
2024,WAS,5110,00-0035145,Austin Seibert,Austin,Seibert,K,3.0,RES,CON
2024,ATL,200,00-0039728,Austin Stogner,Austin,Stogner,TE,88.0,CUT,REG
2024,JAX,2250,00-0036841,Austin Trammell,Austin,Trammell,WR,86.0,DEV,REG
2024,PHI,3700,00-0036676,Austin Watkins Jr.,Austin,Watkins,WR,41.0,CUT,REG
2024,ATL,200,00-0036950,Avery Williams,Avery,Williams,RB,26.0,ACT,REG
2024,NYG,3410,00-0039504,Ayir Asante,Ayir,Asante,WR,19.0,CUT,REG
2024,CLE,1050,00-0038108,Bailey Zappe,Bailey,Zappe,QB,2.0,ACT,REG
2024,TB,4900,00-0034855,Baker Mayfield,Baker,Mayfield,QB,6.0,ACT,WC
2024,NYJ,3430,00-0037157,Bam Knight,Zonovan,Knight,RB,27.0,DEV,REG
2024,KC,2310,00-0039316,Baylor Cupp,Baylor,Cupp,TE,47.0,DEV,SB
2024,NO,3300,00-0036384,Ben DiNucci,Benjamin,DiNucci,QB,15.0,DEV,REG
2024,LAC,4400,00-0036565,Ben Mason,Ben,Mason,TE,44.0,CUT,REG
2024,GB,1800,00-0038809,Ben Sims,Ben,Sims,TE,89.0,INA,WC
2024,WAS,5110,00-0039912,Ben Sinnott,Ben,Sinnott,TE,82.0,ACT,CON
2024,PIT,3900,00-0036862,Ben Skowronek,Ben,Skowronek,WR,15.0,ACT,WC
2024,ARI,3800,00-0037020,Bernhard Seikovits,Bernhard,Seikovits,TE,47.0,DEV,REG
2024,ATL,200,00-0038542,Bijan Robinson,Bijan,Robinson,RB,7.0,ACT,REG
2024,LA,2510,00-0039738,Blake Corum,Blake,Corum,RB,22.0,RES,DIV
2024,NO,3300,00-0038905,Blake Grupe,Blake,Grupe,K,19.0,ACT,REG
2024,DEN,1400,00-0039573,Blake Watson,Blake,Watson,RB,25.0,INA,WC
2024,CLE,1050,00-0038710,Blake Whiteheart,Blake,Whiteheart,TE,86.0,ACT,REG
2024,GB,1800,00-0037091,Bo Melton,Bo,Melton,WR,80.0,ACT,WC
2024,DEN,1400,00-0039732,Bo Nix,Bo,Nix,QB,10.0,ACT,WC
2024,PIT,3900,00-0034414,Boston Scott,Boston,Scott,RB,33.0,CUT,REG
2024,SEA,4600,00-0038488,Brady Russell,Brady,Russell,TE,38.0,RES,REG
2024,NYJ,3430,00-0039794,Braelon Allen,Braelon,Allen,RB,0.0,ACT,REG
2024,DAL,1200,00-0031236,Brandin Cooks,Brandin,Cooks,WR,3.0,ACT,REG
2024,SF,4500,00-0036261,Brandon Aiyuk,Brandon,Aiyuk,WR,11.0,RES,REG
2024,SF,4500,00-0032434,Brandon Allen,Brandon,Allen,QB,17.0,ACT,REG
2024,DAL,1200,00-0037692,Brandon Aubrey,Brandon,Aubrey,K,17.0,ACT,REG
2024,PIT,3900,00-0037382,Brandon Johnson,Brandon,Johnson,WR,89.0,DEV,WC
2024,GB,1800,00-0029822,Brandon McManus,Brandon,McManus,K,17.0,ACT,WC
2024,MIN,3000,00-0034646,Brandon Powell,Brandon,Powell,WR,4.0,ACT,WC
2024,NYJ,3430,00-0036775,Brandon Smith,Brandon,Smith,WR,87.0,DEV,REG
2024,MIA,2700,00-0034419,Braxton Berrios,Braxton,Berrios,WR,0.0,RES,REG
2024,TEN,2100,00-0039649,Brayden Narveson,Brayden,Narveson,K,7.0,TRC,REG
2024,SF,4500,00-0038643,Brayden Willis,Brayden,Willis,TE,9.0,ACT,REG
2024,NE,3200,00-0037355,Braylon Sanders,Braylon,Sanders,WR,80.0,DEV,REG
2024,NYJ,3430,00-0038120,Breece Hall,Breece,Hall,RB,20.0,ACT,REG
2024,CLE,1050,00-0039458,Brenden Bates,Brenden,Bates,TE,82.0,ACT,REG
2024,LAC,4400,00-0039415,Brenden Rice,Brenden,Rice,WR,82.0,RES,WC
2024,JAX,2250,00-0038935,Brenton Strange,Brenton,Strange,TE,85.0,ACT,REG
2024,MIN,3000,00-0034955,Brett Rypien,Brett,Rypien,QB,19.0,DEV,WC
2024,JAX,2250,00-0039553,Brevin Easton,Brevin,Easton,WR,80.0,CUT,REG
2024,HOU,2120,00-0036556,Brevin Jordan,Brevin,Jordan,TE,9.0,RES,DIV
2024,DAL,1200,00-0039530,Brevyn Spann-Ford,Brevyn,Spann-Ford,TE,89.0,ACT,REG
2024,WAS,5110,00-0037746,Brian Robinson,Brian,Robinson,RB,8.0,ACT,CON
2024,JAX,2250,00-0039893,Brian Thomas Jr.,Brian,Thomas,WR,7.0,ACT,REG
2024,PHI,3700,00-0037132,Britain Covey,Britain,Covey,WR,18.0,RES,SB
2024,HOU,2120,00-0039603,British Brooks,British,Brooks,RB,44.0,RES,DIV
2024,SEA,4600,00-0037329,Brittain Brown,Brittain,Brown,RB,34.0,DEV,REG
2024,LV,2520,00-0039338,Brock Bowers,Brock,Bowers,TE,89.0,ACT,REG
2024,SF,4500,00-0037834,Brock Purdy,Brock,Purdy,QB,13.0,INA,REG
2024,DET,1540,00-0036754,Brock Wright,Brock,Wright,TE,89.0,ACT,DIV
2024,BUF,610,00-0038680,Bryan Thompson,Bryan,Thompson,WR,89.0,CUT,REG
2024,SEA,4600,00-0037495,Bryant Koback,Bryant,Koback,RB,40.0,RET,REG
2024,NYG,3410,00-0038477,Bryce Ford-Wheaton,Bryce,Ford-Wheaton,WR,88.0,ACT,REG
2024,TEN,2100,00-0039650,Bryce Oliver,Bryce,Oliver,WR,80.0,ACT,REG
2024,CAR,750,00-0039150,Bryce Young,Bryce,Young,QB,9.0,ACT,REG
2024,WAS,5110,00-0038840,Brycen Tremayne,Brycen,Tremayne,WR,89.0,DEV,CON
2024,NO,3300,00-0039386,Bub Means,Jerrod,Means,WR,16.0,RES,REG
2024,TB,4900,00-0039361,Bucky Irving,Mar'Keise,Irving,RB,7.0,ACT,WC
2024,WAS,5110,00-0034297,Byron Pringle,Byron,Pringle,WR,83.0,CUT,REG
2024,JAX,2250,00-0033936,C.J. Beathard,Casey,Beathard,QB,19.0,ACT,REG
2024,MIN,3000,00-0032918,C.J. Ham,Cortez,Ham,RB,30.0,ACT,WC
2024,HOU,2120,00-0039163,C.J. Stroud,Coleridge,Stroud,QB,7.0,ACT,DIV
2024,PHI,3700,00-0032134,C.J. Uzomah,Christopher,Uzomah,TE,47.0,RES,SB
2024,TB,4900,00-0038129,Cade Otton,Cade,Otton,TE,88.0,ACT,WC
2024,HOU,2120,00-0039359,Cade Stover,Cade,Stover,TE,87.0,RES,DIV
2024,CIN,920,00-0038097,Cade York,Cade,York,K,3.0,ACT,REG
2024,CHI,810,00-0031203,Cairo Santos,Cairo,Santos,K,8.0,ACT,REG
2024,CHI,810,00-0039918,Caleb Williams,Caleb,Williams,QB,18.0,ACT,REG
2024,PIT,3900,00-0037837,Calvin Austin III,Calvin,Austin,WR,19.0,ACT,WC
2024,TEN,2100,00-0034837,Calvin Ridley,Calvin,Ridley,WR,0.0,ACT,REG
2024,MIN,3000,00-0036414,Cam Akers,Cam,Akers,RB,27.0,ACT,WC
2024,CIN,920,00-0039631,Cam Grandy,Cam,Grandy,TE,85.0,ACT,REG
2024,CAR,750,00-0039525,Cam Johnson,Cam,Johnson,WR,14.0,DEV,REG
2024,JAX,2250,00-0039409,Cam Little,Cameron,Little,K,39.0,ACT,REG
2024,CAR,750,00-0034104,Cam Sims,Cam,Sims,WR,87.0,RES,REG
2024,LAC,4400,00-0037224,Cameron Dicker,Cameron,Dicker,K,11.0,ACT,WC
2024,PHI,3700,00-0038564,Cameron Latu,Cameron,Latu,TE,82.0,RES,SB
2024,ATL,200,00-0038930,Carlos Washington,Carlos,Washington,RB,28.0,ACT,REG
2024,KC,2310,00-0039325,Carson Steele,Carson,Steele,RB,42.0,ACT,SB
2024,KC,2310,00-0032950,Carson Wentz,Carson,Wentz,QB,11.0,ACT,SB
2024,LV,2520,00-0039534,Carter Bradley,Carter,Bradley,QB,14.0,INA,REG
2024,HOU,2120,00-0028986,Case Keenum,Casey,Keenum,QB,18.0,RES,DIV
