season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,headshot_url,week,game_type
2024,SEA,OL,T,70.0,DEV,Jason Peters,Jason,Peters,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq",18,REG
2024,NYJ,QB,QB,8.0,ACT,Aaron Rodgers,Aaron,Rodgers,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",18,REG
2024,SEA,P,P,9.0,RET,Jon Ryan,Jon,Ryan,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jarcsmohj6vbznthlni8",18,REG
2024,ARI,K,K,5.0,RES,Matt Prater,Matt,Prater,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",18,REG
2024,CHI,TE,TE,84.0,ACT,Marcedes Lewis,Marcedes,Lewis,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",18,REG
2024,TEN,K,K,6.0,INA,Nick Folk,Nick,Folk,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",18,REG
2024,CAR,LS,LS,44.0,ACT,J.J. Jansen,Jeffrey,Jansen,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i5a2tbrzzqvvpdcykltq",18,REG
2024,ATL,QB,QB,2.0,RET,Matt Ryan,Matthew,Ryan,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s6zam4ekrrnonsck6vak",18,REG
2024,IND,QB,QB,15.0,ACT,Joe Flacco,Joseph,Flacco,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxvyoeojkif7tnfviamc",18,REG
2024,MIA,DL,DE,93.0,ACT,Calais Campbell,Calais,Campbell,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dmgqjt7qihxkze7iuajf",18,REG
2024,BAL,QB,QB,17.0,ACT,Josh Johnson,Joshua,Johnson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbaye18gptzb1jpyswv8",20,DIV
2024,LA,QB,QB,9.0,ACT,Matthew Stafford,John,Stafford,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xdlnnbapdbk8trxqlasu",20,DIV
2024,NYG,K,K,9.0,ACT,Graham Gano,Graham,Gano,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sarpl2zavybbmmowpkwz",18,REG
2024,NYJ,P,P,6.0,ACT,Thomas Morstead,Thomas,Morstead,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/we33rhbbjlkdfhgr6l08",18,REG
2024,MIA,LS,LS,49.0,ACT,Matt Overton,Matthew,Overton,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yeulo5dieb6um5zajehr",9,REG
2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",20,DIV
2024,TEN,LS,LS,46.0,ACT,Morgan Cox,Charles,Cox,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bkj98onntrlaa2fl1hjv",18,REG
2024,SF,OL,T,71.0,RES,Trent Williams,Trent,Williams,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pngn7zttto574ellwslr",18,REG
2024,PHI,DL,DE,55.0,ACT,Brandon Graham,Brandon,Graham,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/e6iqegrredwqev7qx81m",22,SB
2024,BUF,DB,SS,27.0,ACT,Kareem Jackson,Kareem,Jackson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vzmcqsvgotnfsmmzgtwa",21,CON
2024,HOU,DL,DE,52.0,INA,Jerry Hughes,Jerry,Hughes,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/holacsltnj1mvxkeqgp0",20,DIV
2024,DAL,DL,NT,93.0,ACT,Linval Joseph,Linval,Joseph,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xm9kvvx4uujqqjkqxngq",18,REG
2024,BUF,DL,DE,40.0,ACT,Von Miller,Vonnie,Miller,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qpprquecnqk19xsi0dtj",21,CON
2024,NYJ,OL,T,77.0,RES,Tyron Smith,Tyron,Smith,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w7doljwg9c9jqwejqf8b",18,REG
2024,NO,DL,DE,94.0,ACT,Cameron Jordan,Cameron,Jordan,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wxcyaqstm1qguagtp1ye",18,REG
2024,PIT,DL,DT,97.0,ACT,Cameron Heyward,Cameron,Heyward,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jroymb3jdu14pusq9wu8",19,WC
2024,CAR,QB,QB,14.0,ACT,Andy Dalton,Andrew,Dalton,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/az1zo7fl2tozg50tgs0d",18,REG
2024,NYJ,QB,QB,2.0,ACT,Tyrod Taylor,Tyrod,Taylor,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xk8e04jdsvigd6fky3uy",18,REG
2024,PHI,OL,C,62.0,RET,Jason Kelce,Jason,Kelce,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jkleqefsugfjxde0hzci",22,SB
2024,CIN,DL,DT,74.0,CUT,Lawrence Guy,Lawrence,Guy,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jyc3hf6lyt5js3b7oon8",9,REG
2024,CHI,LS,LS,48.0,RES,Patrick Scales,Patrick,Scales,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfsxgtajieazrwinnlvh",18,REG
2024,WAS,LB,ILB,57.0,ACT,Nick Bellore,Nick,Bellore,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wlj7zdf6h9p9dnhdtmih",21,CON
2024,MIA,LS,LS,47.0,ACT,Jake McQuaide,Jacob,McQuaide,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/besfh7upk8k1nv6fx94c",18,REG
2024,LAC,LS,LS,47.0,ACT,Josh Harris,Josh,Harris,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igdh4mxezoys07wphx6r",19,WC
2024,CAR,P,P,10.0,ACT,Johnny Hekker,John,Hekker,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcl8kjfwubicyywpxfny",18,REG
2024,CLE,DB,FS,12.0,ACT,Rodney McLeod Jr.,Rodney,McLeod,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ettne7rdpnkozuyhx8be",18,REG
