player_id,player_name,player_abbr,game_id,week,recent_team,opponent_team,season,season_type,position,headshot_url,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation
00-0035676,A.J. Brown,A.Brown,2024_01_GB_PHI,1,PHI,GB,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",5,10,119.0,1,0.0,0.0,104.0,65.0,5.0,5.0050397,0,1.1442307,0.3448276,0.4814815,0.85427845,0.0,17.9,22.9,0.0,0.0,0.0,1.0,87.1,6.239,2.0261445675719427,11.139999999999997,48.275264343907104,13.028000000000002,4.7804865435799915,8.24751345642001
00-0035676,A.J. Brown,A.Brown,2024_06_CLE_PHI,6,PHI,CLE,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",6,9,116.0,1,0.0,0.0,152.0,23.0,5.0,5.924101,0,0.7631579,0.375,0.6204082,0.9967857,0.0,17.6,23.6,2.0,0.0,0.0,0.0,146.8,3.1555555555555554,1.2650514209110324,15.926666666666668,59.45250933222729,4.3566666666666665,1.8149318484466335,2.541734818220033
00-0035676,A.J. Brown,A.Brown,2024_07_PHI_NYG,7,PHI,NYG,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",5,5,89.0,1,0.0,0.0,75.0,14.0,5.0,10.126351,0,1.1866666,0.35714287,0.75,1.0607142,0.0,14.9,19.9,0.0,0.0,0.0,0.0,158.3,5.95,1.9890753976115494,14.703999999999999,72.6482213438735,3.0960000000000014,2.1400953335169106,0.9559046664830908
00-0035676,A.J. Brown,A.Brown,2024_08_PHI_CIN,8,PHI,CIN,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",5,6,84.0,0,0.0,0.0,79.0,26.0,3.0,5.383068,0,1.0632912,0.31578946,0.43888888,0.78090644,0.0,8.4,13.4,0.0,0.0,0.0,0.0,118.7,3.025,2.8985529918473,13.658333333333337,42.86536248561566,4.969999999999997,2.0257183860403587,2.9442816139596384
00-0035676,A.J. Brown,A.Brown,2024_10_PHI_DAL,10,PHI,DAL,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",5,7,109.0,0,0.0,0.0,122.0,35.0,4.0,4.57616,0,0.89344263,0.35,0.54464287,0.90625,0.0,10.9,15.9,0.0,0.0,0.0,0.0,113.7,7.588571428571429,2.2612088848574223,17.605714285714285,52.64416915847927,7.398000000000001,5.134907990540091,2.2630920094599096
00-0035676,A.J. Brown,A.Brown,2024_11_WAS_PHI,11,PHI,WAS,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",5,8,65.0,0,0.0,0.0,73.0,22.0,4.0,1.7131519,0,0.89041096,0.32,0.45341614,0.7973913,0.0,6.5,11.5,0.0,0.0,0.0,0.0,88.0,7.03,3.4975576938484982,9.223749999999999,51.615836597649675,4.276000000000001,3.537494017645031,0.7385059823549698
00-0035676,A.J. Brown,A.Brown,2024_12_PHI_LA,12,PHI,LA,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",6,7,109.0,1,0.0,0.0,67.0,49.0,6.0,9.978005,0,1.6268656,0.36842105,0.6146789,0.9829068,0.0,16.9,22.9,3.0,0.0,0.0,0.0,158.3,5.641428571428571,1.2148105758232843,10.29857142857143,58.391381824072575,7.813333333333333,1.885241587379132,5.928091745954201
00-0035676,A.J. Brown,A.Brown,2024_13_PHI_BAL,13,PHI,BAL,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",5,6,66.0,0,0.0,0.0,88.0,14.0,4.0,3.4003856,0,0.75,0.3529412,0.62857145,0.9694118,0.0,6.6,11.6,1.0,0.0,0.0,0.0,112.5,6.293333333333333,2.476882240465743,13.928333333333335,62.300581482033714,3.355999999999999,2.7180142325891667,0.6379857674108322
00-0035676,A.J. Brown,A.Brown,2024_15_PIT_PHI,15,PHI,PIT,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",8,11,110.0,1,0.0,0.0,92.0,62.0,5.0,8.571144,0,1.1956521,0.3548387,0.44444445,0.8433692,0.0,17.0,25.0,2.0,0.0,0.0,0.0,134.7,4.630909090909092,2.55859212367436,7.945454545454546,42.32445520581113,8.032499999999999,5.663692965067497,2.3688070349325017
00-0035676,A.J. Brown,A.Brown,2024_16_PHI_WAS,16,PHI,WAS,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",8,15,97.0,1,0.0,0.0,153.0,23.0,4.0,0.99509734,0,0.63398695,0.6,0.68303573,1.378125,0.0,15.7,23.7,0.0,0.0,0.0,1.0,67.9,5.046,1.7629702772707898,10.406666666666666,66.20297722549726,3.232499999999998,2.06413125142511,1.1683687485748884
00-0035676,A.J. Brown,A.Brown,2024_17_DAL_PHI,17,PHI,DAL,2024,REG,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",3,5,36.0,1,0.0,0.0,66.0,1.0,1.0,2.3214986,0,0.54545456,0.2777778,0.36263737,0.6705128,0.0,9.6,12.6,0.0,0.0,0.0,0.0,121.7,6.434,1.0697970803100665,13.675999999999998,34.91982432846491,-0.13666666666666552,0.25107798180249574,-0.38774464846916123
00-0035676,A.J. Brown,A.Brown,2024_20_LA_PHI,20,PHI,LA,2024,POST,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",2,7,14.0,0,0.0,0.0,98.0,3.0,2.0,0.15694469,0,0.14285715,0.35,0.7596899,1.056783,0.0,1.4,3.4,0.0,2.0,0.286,0.0,39.6,6.0842857142857145,1.6544274871136528,13.474285714285715,77.22285901424597,1.7300000000000004,2.1309439264946377,-0.4009439264946373
00-0035676,A.J. Brown,A.Brown,2024_21_WAS_PHI,21,PHI,WAS,2024,POST,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",6,8,96.0,1,0.0,0.0,90.0,34.0,6.0,12.095502,0,1.0666667,0.33333334,0.625,0.9375,0.0,15.6,21.6,1.0,0.0,0.0,0.0,154.2,5.39625,2.9496678838250796,11.14,64.02298850574712,5.6433333333333335,3.051370892458484,2.5919624408748496
00-0030035,Adam Thielen,A.Thielen,2024_03_CAR_LV,3,CAR,LV,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",3,5,40.0,1,0.0,0.0,44.0,5.0,2.0,3.0564163,0,0.90909094,0.13513513,0.20560747,0.34662795,0.0,10.0,13.0,0.0,1.0,0.2,0.0,125.0,5.5040000000000004,3.307095771343588,8.512000000000004,18.93070011564808,2.8066666666666626,1.66496726008783,1.1416994065788326
00-0030035,Adam Thielen,A.Thielen,2024_13_TB_CAR,13,CAR,TB,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",8,10,99.0,1,0.0,0.0,112.0,23.0,4.0,6.2343655,0,0.8839286,0.24390244,0.27930173,0.5613649,0.0,15.9,23.9,0.0,1.0,0.1,0.0,141.2,5.335555555555555,3.8352668318440166,10.644,26.59869555438938,3.440000000000001,3.3744309444787604,0.06556905552124048
00-0030035,Adam Thielen,A.Thielen,2024_14_CAR_PHI,14,CAR,PHI,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",9,11,102.0,0,0.0,0.0,130.0,13.0,7.0,8.989361,0,0.7846154,0.33333334,0.3561644,0.7493151,0.0,10.2,19.2,1.0,0.0,0.0,1.0,67.4,5.872727272727272,2.4188816835736207,11.767272727272728,37.13244786138444,1.2488888888888894,1.9740564034641812,-0.7251675145752918
00-0030035,Adam Thielen,A.Thielen,2024_15_DAL_CAR,15,CAR,DAL,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",5,7,51.0,0,0.0,0.0,62.0,26.0,1.0,-2.7258732,0,0.82258064,0.25925925,0.2952381,0.59555554,0.0,5.1,10.1,0.0,0.0,0.0,2.0,52.4,8.01,2.382769415940739,8.771428571428574,28.62871264046254,5.4179999999999975,4.759687621983764,0.6583123780162339
00-0030035,Adam Thielen,A.Thielen,2024_16_ARI_CAR,16,CAR,ARI,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",5,6,43.0,1,0.0,0.0,62.0,7.0,4.0,6.8825684,0,0.6935484,0.25,0.410596,0.66241723,0.0,10.3,15.3,0.0,0.0,0.0,0.0,136.1,6.388333333333333,2.69143225356003,11.201666666666668,39.85412713472486,1.5940000000000012,1.6704321578110863,-0.07643215781108514
