player_id,player_abbr,player_name,position,headshot_url,recent_team,season,week,season_type,opponent_team,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,fantasy_points,fantasy_points_ppr
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,1,REG,NYJ,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,40.0,0,0.0,0.0,35.0,10.0,1.0,2.1537275,4.0,6.0
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,2,REG,MIN,0,0.0,0,0.0,0.0,0.0,0.0,0,3,5,19.0,0,0.0,0.0,26.0,1.0,1.0,-5.143916,1.9,4.9
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,3,REG,LA,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,6.0,0,0.0,0.0,5.0,1.0,0.0,0.26004398,0.6,1.6
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,4,REG,NE,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,12.0,0,0.0,0.0,5.0,7.0,1.0,1.051612,1.2,2.2
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,6,REG,SEA,1,6.0,1,0.0,0.0,1.0,2.3673804,0,3,4,10.0,0,0.0,0.0,1.0,9.0,0.0,-0.6741379,7.6,10.6
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,7,REG,KC,1,14.0,0,0.0,0.0,0.0,0.25666967,0,0,3,0.0,0,0.0,0.0,21.0,0.0,0.0,-1.8011339,1.4,1.4
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,8,REG,DAL,1,1.0,0,0.0,0.0,0.0,-0.60379195,0,1,1,6.0,0,0.0,0.0,3.0,3.0,0.0,-0.8074182,0.7,1.7
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,11,REG,SEA,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,12.0,0,0.0,0.0,10.0,2.0,0.0,0.3804144,1.2,3.2
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,12,REG,GB,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,14.0,0,0.0,0.0,6.0,8.0,1.0,0.98711085,1.4,2.4
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,13,REG,BUF,1,-1.0,0,1.0,1.0,0.0,-8.842431,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-2.1
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,14,REG,CHI,0,0.0,0,0.0,0.0,0.0,0.0,0,1,2,3.0,0,0.0,0.0,30.0,0.0,0.0,-0.67687297,0.3,1.3
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,16,REG,MIA,1,6.0,0,0.0,0.0,0.0,-0.46787792,0,1,3,20.0,0,0.0,0.0,4.0,21.0,1.0,-0.0641336,2.6,3.6
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,17,REG,DET,0,0.0,0,0.0,0.0,0.0,0.0,0,1,2,9.0,1,0.0,0.0,16.0,10.0,1.0,0.7815255,6.9,7.9
00-0029892,K.Juszczyk,Kyle Juszczyk,FB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mfhpygabawkeioplae7a",SF,2024,18,REG,ARI,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,49.0,1,0.0,0.0,31.0,21.0,2.0,3.468422,10.9,12.9
00-0030578,C.Patterson,Cordarrelle Patterson,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jktdrwmujfuqp94csnav",PIT,2024,1,REG,ATL,4,13.0,0,0.0,0.0,0.0,-1.2048415,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3
00-0030578,C.Patterson,Cordarrelle Patterson,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jktdrwmujfuqp94csnav",PIT,2024,2,REG,DEN,2,3.0,0,0.0,0.0,0.0,-0.82626283,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3
00-0030578,C.Patterson,Cordarrelle Patterson,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jktdrwmujfuqp94csnav",PIT,2024,3,REG,LAC,4,33.0,0,0.0,0.0,2.0,1.696124,0,3,5,15.0,0,0.0,0.0,20.0,13.0,1.0,-5.1090035,4.8,7.8
