player_id,player_abbr,player_name,position,headshot_url,recent_team,season,week,season_type,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0024243,M.Lewis,Marcedes Lewis,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",CHI,2024,6,REG,JAX,1,1,2.0,0,0.0,0.0,1.0,1.0,1.0,0.064604744,0,2.0,0.03846154,0.009708738,0.064488426,0.0,0.2,1.2
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,1,REG,NO,3,4,49.0,0,0.0,0.0,64.0,18.0,2.0,4.642717,0,0.765625,0.13793103,0.18181819,0.33416927,0.0,4.9,7.9
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,2,REG,LAC,2,3,20.0,0,0.0,0.0,18.0,2.0,1.0,-2.4589026,0,1.1111112,0.115384616,0.23376623,0.33671328,0.0,2.0,4.0
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,3,REG,LV,3,5,40.0,1,0.0,0.0,44.0,5.0,2.0,3.0564163,0,0.90909094,0.13513513,0.20560747,0.34662795,0.0,10.0,13.0
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,12,REG,KC,3,4,57.0,0,0.0,0.0,34.0,35.0,2.0,4.7300467,0,1.6764706,0.121212125,0.116838485,0.26360512,0.0,5.7,8.7
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,13,REG,TB,8,10,99.0,1,0.0,0.0,112.0,23.0,4.0,6.2343655,0,0.8839286,0.24390244,0.27930173,0.5613649,0.0,15.9,23.9
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,14,REG,PHI,9,11,102.0,0,0.0,0.0,130.0,13.0,7.0,8.989361,0,0.7846154,0.33333334,0.3561644,0.7493151,0.0,10.2,19.2
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,15,REG,DAL,5,7,51.0,0,0.0,0.0,62.0,26.0,1.0,-2.7258732,0,0.82258064,0.25925925,0.2952381,0.59555554,0.0,5.1,10.1
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,16,REG,ARI,5,6,43.0,1,0.0,0.0,62.0,7.0,4.0,6.8825684,0,0.6935484,0.25,0.410596,0.66241723,0.0,10.3,15.3
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,17,REG,TB,5,6,110.0,2,0.0,0.0,113.0,12.0,4.0,9.249335,0,0.9734513,0.27272728,0.37171054,0.6692883,0.0,23.0,28.0
00-0030035,A.Thielen,Adam Thielen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pxehgo0l9xl03n7dronf",CAR,2024,18,REG,ATL,5,6,44.0,0,0.0,0.0,53.0,11.0,1.0,1.829049,0,0.8301887,0.17142858,0.17096774,0.37682027,0.0,4.4,9.4
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,1,REG,TB,3,4,28.0,0,0.0,0.0,28.0,7.0,1.0,0.75295126,0,1.0,0.16666667,0.224,0.4068,0.0,2.8,5.8
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,2,REG,NYG,4,4,62.0,0,0.0,0.0,51.0,11.0,3.0,5.957274,0,1.2156863,0.13793103,0.4180328,0.4995195,0.0,6.2,10.2
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,3,REG,CIN,5,5,38.0,0,1.0,0.0,33.0,5.0,2.0,4.714723,0,1.1515151,0.2173913,0.15348837,0.4335288,0.0,3.8,8.8
00-0030061,Z.Ertz,Zach Ertz,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xktmmeumuoglbuam75iz",WAS,2024,4,REG,ARI,3,3,22.0,0,0.0,0.0,15.0,7.0,1.0,0.6499125,1,1.4666667,0.1,0.0862069,0.21034482,0.0,4.2,7.2
